C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-06\6502df47a27bc94c9e4a7199a6c25f5b.dat | Amount: 11.06 | Date: 12/06/2026 | Text: '19:34\nOG\n257\n2026\n(3)\nSaldo cliente\n11.06.26.pdf\nPDF\n139.3KB Naobaixado\n12:51\njudy\n168/98889\njudy\n66/200k\njudy\n58/259500\njudy\n16/522500\njudy\n15/209400\njudy\n1/1000k\njudy\n991/361200\njudy\n6/600541'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-05\baaa9d8c5dea23b6c2db5ef7b220e9a8.dat | Amount: 19.05 | Date: 03/07/2026 | Text: '16:280\n四\n95\n2026\n(3)\nOntem18:19\nVALEG+OUT\n19.05.2026.pdf\nPDF\n228.8KB Naobaixado\nSaldo cliente\n19.05.26.pdf\nPDF\n139.4KB Naobaixado\n13:46\njudy\n808/519390\njudy\n1/600k\njudy\n66/200k\n"judy"recordou uma mensagem.\njudy\n116/324786\njudy\n58/255750\nの'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-05\c515109c3593a7f376d86a7c19935e12.dat | Amount: 2.0 | Date: 03/07/2026 | Text: 'io/?hl=pt-br\nInstagram\nEntrar\nCadastre-se\narthbaggio\n445 seguidores\n6 seguindo\nArthur Baggio\nEscalango minha agencia de IA ate R$2M\nPLAY\nDO DESAFIODEFAZER\nDODESAFIO DEFAZER\nPLDEUMCLIENTEQUE'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-05\cbf0183c076e17055a077a9ca4ee362f.dat | Amount: 23.04 | Date: 03/07/2026 | Text: '16:41\n●OG\n157\n2026\n(3)\n23.04.26.pdf\nPDF\nOntem 17:37\nSaldo cliente\n20.05.26.pdf\nPDF\n140.0KB\nVALEG+OUT\n20.05.2026.pdf\nPDF\n335.7 KB Naobaixado\n16:27\njudy\n116/254k\njudy\n116/374532\njudy\n58/254500\njudy\n66/200k\njudy\n168/100860\nの'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-05\d013ad0ef009d726331ab1829ea4a396.dat | Amount: 27.05 | Date: 03/07/2026 | Text: '16:30G\n2026\n(3)\n10\nOntem 17:34\nVALEG+OUT\n27.05.2026.pdf\nPDF\n297.7KB\nSaldo cliente\n27.05.26.pdf\nPDF\n139.3KB\n16:23\njudy\n16/517500\njudy\n16/304182\njudy\n1/1200k\njudy\n116/205k\njudy\n116/251145\nの'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-05\d333980ad3504ee221888e59975c44a9.dat | Amount: None | Date: 04/07/2026 | Text: '17:100\n96\n2026\n(3)\n14:57\njudy\n65/700k\njudy\n1/600k\n16:26\njudy\n1/815k\njudy\n66/250500\njudy\n116/369003\njudy\n168/220588\njudy\n808/503880\njudy\n16/503500\n5\n一'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-05\ee4ee2b3656e8696463bc5688a5ca7fc.dat | Amount: 13.05 | Date: 03/07/2026 | Text: '17:42\nG\n2026\n(3)\nOROEr\nTOALD\nRS1.386.00\n05ZRC\n26\n12675\n98\n223524\n10973\n1001\n$75\n15\n153497\n89\n389327\n262136\nAS0D65\n698\nE435\n7049N1\n199\n60\n473984\n79\n105\n11\n11360\nAL\n2600\n991\n170024\nSaldo cliente\n13.05.26.pdf\nPDF\n139.4 KB Naobaixado\nVALEG+OUT\n13.05.2026.pdf\nPDF\n305.0 KB Naobaixado\n15:27\njudy\n116/354200\njudy\n15/153150\nの'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-05\ef9a82bfe4c6f4365846ecbff0734296.dat | Amount: 7.05 | Date: 03/07/2026 | Text: '16:30G\n129\n2026\n(3)\nOntem 19:09\nVALEG+OUT\n07.05.2026.pdf\nPDF\n407.9KB\nSaldo cliente\n07.05.26.pdf\nPDF\n249.0KB\n15:47\njudy\n116/237429\njudy\n66/250k\njudy\n168/98684\njudy\n1/653633\njudy\n16/501500\nの'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-05\ff96ab35e827ba2e1d434a49d5014a68.dat | Amount: 1.6 | Date: 03/07/2026 | Text: 'Q*java”\nBrasil\nPesquisar\n47\nReative Pren\n1.60\n50% de deso\nVagas\nUltimas 24horas\nPleno-senior\nRemoto\nTodos os filtros\nRedefinir\nExperimente a nova pesquis\nde vagas\n"java" em: Brasil\nConfigurar alerta\nDesenvolvedor(a) Java Senior\n10 resultados\nSankhya - Brasil (Remoto)\n Candidatou-se em ha 3 segundos\nCandidatou-se\n- neyey y vnaun ve Ar sa ne1\n - Experiencia com testes automatizados utilizando JUnit e Mockito\nFull Stack Developer (Java/Angular)\n• Git e boas praticas de versionamento, como GitFlow\nGetronics\n • Conhecimento em React e ou Angular\nBrasil (Remoto)\n 16 cnnwves trabalham aqui\nDiferenciais\n• Experiencia com cloud computing, como AwS, Azure ou Google Cloud\n - Vivencia com ambientes de deploy, monitoramento e escalabilidade em nuvem\nJava Senior\n- Experiencia com bancos de dados nao relacionais\nLOCALIDADE\nalmente 1 semana para avaliar\nUberlandia/MG-Presencial\nSao Paulo/SP  Hibrido (2x/semana no escrit6rio)\nOutras localidades -Remoto\nX\nBENEFICIOS\nI Remuneracao Variavel + Participacao nos Resultados (PPR)\n@ Vale Alimentacao/Refeicao iFood'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-06\2004a6beb029273313239473723ea276.dat | Amount: 393.0 | Date: 05/06/2026 | Text: 'mercado\no6ed\nComprovantedePix\n5/junho/2026as17:23:56.\nR$ 393\nDe\nKelvillydaSilvaSantos\nCPF:***.819.972-**\nMercadoPago\nPara\nCleendIntermediacaoeAtacadoLtda\nCNPJ:61.964.978/0001-68\nBANCOBRADESCOS.A.\nN.°transacaodoMercadoPago\n162701985212\nID de transacaoPix\nE10573521202606052023TBMdXu2tBKE\nAtendimentoaocliente\n08006377246\nOuvidoria\n08006884365'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-06\22a4d5d2ccb16ed4913464dfbbbbdab8.dat | Amount: 1.06 | Date: 03/07/2026 | Text: '17:25G\n121\n2026\n(3)\nVoce recuperou uma mensagem.\nVALEG+OUT\n01.06.2026.pdf\nPDF\n307.3KB\nSaldo cliente\n01.06.26.pdf\nPDF\n139.6KB\n16:20\njudy\n116/284760\njudy\n58/255350\njudy\n6/816168\njudy\n66/200k\njudy\n17/153750\njudy\n65+600k\nの\n一'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-06\3e0faba731c942aa8eeda563e189edcd.dat | Amount: 22.06 | Date: 03/07/2026 | Text: '17:27G\n81\n2026\n(3)\nOntem20:07\nVALEG+OUT\n22.06.2026.pdf\nPDF\n285.0KB\nSaldo cliente\n22.06.26.pdf\nPDF\n248.7KB\n15:02\njudy\n66/200k\njudy\n65/600k\n15:30\njudy\n15/158700\n15:39\njudy\n58/231660\nの'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-06\48d404b9f228b85753c270c17a770181.dat | Amount: 139.3 | Date: 03/07/2026 | Text: '18:270G\n61\n184\n2026\n(3)\n100\n1692520\n18\n15026\nVoce recuperou uma mensagem.\nSaldo cliente\n10.06.26.pdf\nPDF\n139.3KB\nVALEG+OUT..2026\npdf\nPDF\n285.1KB\n17:08\njudy\n1/1500k\njudy\n66/200k\njudy\n116/240120\njudy\n58/262k\njudy\n168/114382\nの'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-06\56902518fab01dfc15a58b8834576412.dat | Amount: 3265.0 | Date: 05/06/2026 | Text: 'Santander\nComprovantedopagamento\n05/06/2026-16:37:11\nValorpago\nR$ 3.265,00\nTipodetransferencia\nPix\nFormadepagamento\nAg2085-Cc13.001914-2\nDadosdorecebedor\nPara\nDIAMONDSERVICESLTDA\nCNPJ\n46.******/****-01\nChave\n46.******/****-01\nInstituicao\nBCODOBRASILS.A.\nDadosdopagador\nPagador\nMDMCOMERCIOESERVICOSLTDA\nCNPJ\n28.******/****-62\nInstituicao\nBCOSANTANDER(BRASIL)S.A.\nID/Transacao\nE9040088820260605193662991332043\nDataehoradatransacao\n05/06/2026-16:37:11\nCodigodeautenticacao\nMBJ3763CE9E1E921049729F\nCentraldeAtendimentoSantander\n4004-2125(CapitaiseRegioesMetropolitanas)\n0800-726-2125(DemaisLocalidades)\nSAC0800-762-7777\nOuvidoria0800-726-0322'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-06\62ffc9d78a3661d694602fd735217ff5.dat | Amount: None | Date: 04/07/2026 | Text: '18:54G\n80\n19\n2026\n(3)\njudy\n212800/18\n16:25\njudy\n65/600k\njudy\n54687/18\njudy\n1/1500k\n16:31\njudy\n17/278640\njudy\n116/137917\njudy\n重复\nRepetir\nTraduzidopeloWeixin\njudy:17/278640\nの'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-06\7545ac33624c75e50c974d74397e5726.dat | Amount: 4954.0 | Date: 05/06/2026 | Text: 'itau\nComprovante dePix\nRS 4.954,00\nRealizadoem05/06/2026as16:15:06\nDe\nCHENYANGLING\nCPF:***.402.871-**\nInstituicao:ITAU UNIBANCO S.A\nPara\nDIAMONDSERVICESLTDA\nCPF:***054.740-**101\nInstituicao:BANCODOBRASILS.A.\nChavePix:46805474000101\nDados da transacao\nAutenticacao:\nDA17EE2444BF7EFB3F8603DEDC7AFC32E3647130\nID da transacao:\nE60701190202606051913DY5INMHWCUN\nRealizadaem:Celular\nCentraldeatendimento\nCapitaiseregioesmetropolitanas:Capitaiseregioesmetropolitanas:\n40044828\nDemaislocalidades:Demaislocalidades:08009704828\nSAC24horas:SAC24horas:08007280728\nOuvidoria(diasuteisdas9has18h):Ouvidoria(diasuteisdas9has18h):\n08005700011\nCanalparaPcDauditivaou defala:Canal paraPcD auditiva oudefala:\n08007221722'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-06\8b2615857e3970d3824b872620ef62da.dat | Amount: 8.06 | Date: 03/07/2026 | Text: '16:560G\n79\n2026\n(3)\nOntem 18:51\nSaldo cliente\n08.06.26.pdf\nPDF\n139.5KB\nVALEG+OUT..2026.\npdf\nPDF\n296.0KB\n14:48\njudy\n16/308880\n"judy"recordou uma mensagem.\njudy\n1/2000k\n15:16\njudy\n116/385505\njudy\n66/200k\nの'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-06\905b38e53afc6013f923a09d0d9407c1.dat | Amount: 1000.0 | Date: 06/06/2026 | Text: 'Comprovantedetransferencia\n06JUN2026-08:51:38\nValor\nR$1.000,00\nTipodetransferencia\nPix\nDestino\nNome\nCleendIntermediacaoeAtacadoLtda\nCNPJ\n61964978000168\nInstituicao\nBCOBRADESCOS.A.\nAgencia\n0294\nConta\n21655-0\nTipodeconta\nConta corrente\nOrigem\nNome\nAnaKariFerreiradeSouza\nInstituicao\nNUPAGAMENTOS-IP\nAgencia\n0001\nConta\n128836732-2\nCPF\n..402.516-\nNuPagamentosS.A.-InstituicaodePagamento\nCNPJ18.236.120/0001-58\nIDda transacao:\nE18236120202606061151s17fb0622ae\nEstamosaquiparaajudarsevocetiveralgumaduvida.\nMeajuda→\nOuvidoria:08008870463oudemaiscanaisem\nnubank.com.br/contatos#ouvidoria(Atendimento das8h\nas18hemdiasuteis).'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-06\bac0aa9b876af76ce9206cf1f82fc539.dat | Amount: 2026.12 | Date: 16/06/2026 | Text: 'CAIXA\nComprovante de Pix\nPixenviado\n16/06/2026,12:02\nR$ 620,00\nValor\nRecebedor\nNome\nCleend Eletronicos\nCNPJ\n61.964.978/0001-68\nBCOBRADESCOS.A.\nInstituicao\nPagador\nNome\nGILDOCLEMENTEDASILVA\nCPF\n***_**'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-06\cfff985182e02f454ac74e54d96ba350.dat | Amount: 153.6 | Date: 05/06/2026 | Text: 'Comprovantede\ntransferencia\n05JUN2026-16:49:28\nValor\nR$153,60\nTipodetransferencia\nPix\nIDdatransacao\nE182361202026060\n51949s06b40a6b9f\nDestino\nNome\nCLEENDELETRONICOS\nCNPJ\n61964978000168\nInstituicao\nBCOBRADESCOS.A.\nChavePix\n+5511976266666\nOrigem\nFrancisca Rosa doNascimento\nNome\nLinhares\nInstituicao\nNUPAGAMENTOS-IP\nCPF\n,273.574-\nNuPagamentosS.A.-Instituicaode\nPagamento\nCNPJ18.236.120/0001-58\nIDdatransacao:\nE18236120202606051949s06b40a6b9f\nEstamos aquipara ajudarsevocetiveralguma\nduvida.\nMeajuda\nOuvidoria:08008870463oudemaiscanaisem\nnubank.com.br/contatos#ouvidoria\n（Atendimentodas8has18hem diasuteis).'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-06\e7a4e7837f34e9497a18265a477e1b61.dat | Amount: 160.0 | Date: 15/06/2026 | Text: 'infinitepay\nComprovantede transferenciaPix\nR$ 160,00\n15Jun,2026·18:56:12(BRT)\nOrigem\n65.667.287 DIEGOHILARIOLIRA\nCNPJ\n65.667.287/0001-53\nInstituicao\nCLOUDWALKIPLTDA\nDestino\nAMD REPRESENTACOESESERVICOSLTDA\nCNPJ\n53.356.830/0001-12\nInstituicao\nBCODOBRASILS.A.\nChave Pix\n53356830000112\nIDE18189547202606152155yWcbo7hiY8b\nCloudwalkInstituicaodePagamento\nCNPJ-18.189.547/0001-42'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-06\f1bcac3bd838fb7e0ca80e0b886b205d.dat | Amount: 201.0 | Date: 03/07/2026 | Text: 'CAIXA tem!\nPixPagamento\n30demaiode2026as09:11:15\nValor\nR$201,00\nQuem vai receber\nNome\nDIAMONDSERVICESLTDA\nCPF/CNPJ\n46.805.474/0001-01\nBanco\nBANCODOBRASILS.A.\nQuem vai enviar\nNome\nTHIAGOROSAKIM\nCPF/CNPJ\n***.919.831-**\nBanco\nCaixaEconomicaFederal\nDados da transacao\nID\nE00360305202605301210ad75a863c94\nNSU\n65599981816\nOperacaorealizada com sucesso!\nAloCAIXA:08001040104(demaislocalidades)\nAloCAIXA:40040104(CapitaiseRegioesMetropolitanas)\nSACCAIXA:0800726010i(informacoes,reclamacoes,sugestoese\nelogios)\n·Parapessoascom deficiencia auditiva oudefala:08007262492'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-06\fa0ffa3d94ed345ee0203e759e87b4f1.dat | Amount: None | Date: 04/07/2026 | Text: '19:37G\n55\n2026\n(3)\n16:36\njudy\n1/1500k\n17:18\njudy\ntemmaisainda\n17:30\njudy\n58/262250\njudy\n116/459718\njudy\n16/263500\njudy\n16/308880\njudy\n991/246092\nの'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-06\ff3704d56109b399a404afb7283b09f5.dat | Amount: 434.93 | Date: 03/07/2026 | Text: 'BaseCoat\nATTRIBUTION SUITE\nCRM LEADS\nWON REVENUE\nTOTAL SPEND\nBLENDED ROAS\nREVENUE / LEAD\nBLENDED CPL\n14\n$24,400\n山\n$6,089\n4.01x\n$1,743\n$434.93\nLOGGED AS\n2agency@skiltest.dev\nAGENCY PARTNER\nATTRIBUTION OVERVIEW\nChannelPerformance\n$ Won Revenue\n2 CRM Leads\nANALYSIS\nlOverview (Blended)\n$20k\nATTRIBUTION CHANNELS\n00 Meta Ads\n$15k\nG\nGoogle Ads\nGLSA\n$10k\nSEO(Organic)\n$5k\nEmail Marketing\nDirect/Unknown\n$ok\nMeta\nGoogle\nSEO\nEmall\nUnknown\n00 META\n75% SHARE\nG GOOGLE\n22% SHARE\n SEO\n2% SHARE\n EMAIL\n 0% SHARE\n uNKNOWN\n0% SHARE\n$18,400\n$5,400\n$600\n$o\n$o\nLEADS\nSPEND\nROAS\nLEADS\nSPEND\nROAS\nLEADS\nSPEND\nROAS\nLEADS\nSPEND\nROAS\nLEADS\nSPEND\nROAS\n6\n$6,089\n3.02x\n4\n$o\n2\n$0\n$o\n$o\nCPL: $1,014.83\nPAID (NO SPEND)\nORGANIC\nORGANIC\nORGANIC\n[→ Sign Out\nEXECUTIVE INSIGHTS\nPerformance Readout'
